datetime,open,high,low,close,volume,Name
26-03-2018,1040,1040.9,1028.85,1039.35,7817249,KOTAKBANK
27-03-2018,1043,1058,1043,1049.85,2148618,KOTAKBANK
28-03-2018,1044.05,1057,1040.6,1047.8,5927388,KOTAKBANK
02-04-2018,1049.05,1100.45,1049.05,1096.55,2666027,KOTAKBANK
03-04-2018,1094.5,1105.1,1087.5,1103.3,1345130,KOTAKBANK
04-04-2018,1108.9,1111.8,1075,1078.3,1305078,KOTAKBANK
05-04-2018,1091.9,1121,1084.5,1118.3,1987694,KOTAKBANK
06-04-2018,1116,1123,1102,1119.2,1293385,KOTAKBANK
09-04-2018,1119.9,1137.5,1115,1118.25,1851094,KOTAKBANK
10-04-2018,1120,1134.9,1110.4,1113.65,1198503,KOTAKBANK
11-04-2018,1110,1129,1110,1126.1,883246,KOTAKBANK
12-04-2018,1123.6,1137.35,1113.5,1134.6,1344409,KOTAKBANK
13-04-2018,1138.9,1157.05,1137.1,1151.1,2952078,KOTAKBANK
16-04-2018,1147.5,1175,1145,1172.1,1625382,KOTAKBANK
17-04-2018,1176,1177.5,1160.6,1164.85,912582,KOTAKBANK
18-04-2018,1167.5,1167.5,1151.15,1153.95,889610,KOTAKBANK
19-04-2018,1160,1165.6,1151.1,1153.9,660729,KOTAKBANK
20-04-2018,1150.85,1164,1145.05,1152.85,1218056,KOTAKBANK
23-04-2018,1158.7,1177.15,1153.25,1169,1354154,KOTAKBANK
24-04-2018,1172.45,1172.45,1153.65,1166,992352,KOTAKBANK
25-04-2018,1164,1170.5,1150.65,1167.85,1251769,KOTAKBANK
26-04-2018,1169,1192.75,1161.05,1185.7,3196902,KOTAKBANK
27-04-2018,1190,1207,1178.45,1188.75,1816266,KOTAKBANK
30-04-2018,1198.95,1218.8,1193.4,1211.1,3430681,KOTAKBANK
02-05-2018,1232,1288.4,1223.2,1256.85,8891427,KOTAKBANK
03-05-2018,1255,1263.2,1225.85,1233.55,2977641,KOTAKBANK
04-05-2018,1240.2,1240.25,1214.1,1233.45,1914559,KOTAKBANK
07-05-2018,1235,1248.7,1229.4,1245.05,2305468,KOTAKBANK
08-05-2018,1247.5,1247.5,1225.8,1241.85,2674288,KOTAKBANK
09-05-2018,1241.7,1255.3,1232.9,1251.15,1671216,KOTAKBANK
10-05-2018,1254.5,1260,1242.9,1247.5,984467,KOTAKBANK
11-05-2018,1250,1272.4,1248.05,1267.3,1416236,KOTAKBANK
14-05-2018,1268,1288.15,1256.25,1271.6,1674393,KOTAKBANK
15-05-2018,1274,1304.45,1259.25,1283.85,3979395,KOTAKBANK
16-05-2018,1272,1293.05,1265,1281.4,1381194,KOTAKBANK
17-05-2018,1285,1296,1265,1270.7,2201571,KOTAKBANK
18-05-2018,1268,1297.05,1267,1294.4,3368549,KOTAKBANK
21-05-2018,1299.95,1299.95,1269.55,1276.65,1998879,KOTAKBANK
22-05-2018,1276.8,1284.25,1258.65,1262.7,1357645,KOTAKBANK
23-05-2018,1260,1264.95,1242,1255.35,1512791,KOTAKBANK
24-05-2018,1250.5,1279.55,1246.15,1275.45,1572433,KOTAKBANK
25-05-2018,1277.95,1306.85,1272.5,1295.85,1065643,KOTAKBANK
28-05-2018,1300,1309.7,1289.8,1297.15,1527809,KOTAKBANK
29-05-2018,1297.1,1300.9,1278.45,1284.25,1094590,KOTAKBANK
30-05-2018,1276.85,1308.4,1270.3,1303.25,2044432,KOTAKBANK
31-05-2018,1306.9,1400,1301.45,1334.6,6684898,KOTAKBANK
01-06-2018,1317,1334,1307.15,1318,2332688,KOTAKBANK
04-06-2018,1334,1334,1293,1303.95,1462047,KOTAKBANK
05-06-2018,1303.95,1312.65,1297.2,1304.7,2085438,KOTAKBANK
06-06-2018,1307,1320.95,1300,1315.7,1030269,KOTAKBANK
07-06-2018,1324,1334.7,1306.5,1310.45,2049203,KOTAKBANK
08-06-2018,1308,1324.95,1301.25,1318.35,1848047,KOTAKBANK
11-06-2018,1324,1329.85,1319,1323.35,1311222,KOTAKBANK
12-06-2018,1329,1332.65,1320.1,1329.3,977752,KOTAKBANK
13-06-2018,1331.4,1331.6,1312.65,1325.65,1495398,KOTAKBANK
